Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Annotation Release Date	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly Stats GC Percent	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	CheckM marker set	CheckM completeness	CheckM contamination
ASM1426339v1	GCA_014263395.1	GCF_014263395.1	Halomonas sp. SH5A2	2749040	Inconclusive		SH5A2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-06-30	1	1	Complete Genome	2020-08-21		1	57							PacBio RSII	Universidad Nacional Mayor de San Marcos	PRJNA639301	SAMN15395493	3553	3417	53	Halomonas	98.59	1
ASM1426339v1	GCF_014263395.1	GCA_014263395.1	Halomonas sp. SH5A2	2749040	Inconclusive		SH5A2					GCF_014263395.1-RS_2025_09_30	2025-09-30	1	1	Complete Genome	2020-08-21		1	57							PacBio RSII	Universidad Nacional Mayor de San Marcos	PRJNA639301	SAMN15395493	3564	3461	20	Halomonas	98.59	1
ASM5298395v1	GCA_052983955.1	GCF_052983955.1	Halomonas sp. LS-001	3465833	Inconclusive		LS-001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2025-09-30	1	1	Complete Genome	2025-10-05	JBRKBK01	1	54.5							Illumina NextSeq; Oxford Nanopore	Universidad Nacional de San Agustin de Arequipa	PRJNA1333958	SAMN51821153	3414	3310	22	Halomonas	98.08	1.54
ASM5298395v1	GCF_052983955.1	GCA_052983955.1	Halomonas sp. LS-001	3465833	Inconclusive		LS-001					GCF_052983955.1-RS_2025_11_17	2025-11-17	1	1	Complete Genome	2025-10-06	JBRKBK01	1	54.5							Illumina NextSeq; Oxford Nanopore	Universidad Nacional de San Agustin de Arequipa	PRJNA1333958	SAMN51821153	3414	3310	22	Halomonas	98.08	1.54
ASM3055307v1	GCA_030553075.1	GCF_030553075.1	Halomonas sp. I5-271120	3061632	Inconclusive		I5-271120							2	2	Complete Genome	2023-07-31		2	62							PacBio Sequel	Future Biomanufacturing Research Hub	PRJNA994417	SAMN36426743				Halomonas	98.19	2.74
ASM3055307v1	GCF_030553075.1	GCA_030553075.1	Halomonas sp. I5-271120	3061632	Inconclusive		I5-271120					GCF_030553075.1-RS_2024_08_12	2024-08-12	2	2	Complete Genome	2023-07-31		2	62							PacBio Sequel	Future Biomanufacturing Research Hub	PRJNA994417	SAMN36426743	3675	3537	49	Halomonas	98.19	2.74
ASM936375v1	GCA_009363755.1	GCF_009363755.1	Halomonas sp. THAF5a	2587844	OK		THAF5a					Annotation submitted by Uni Bielefeld	2019-10-28	1	1	Complete Genome	2019-10-28		1	68.5							Illumina MiSeq, Oxford Nanopore GridION	Uni Bielefeld	PRJNA547984	SAMN11996109	3481	3395	2	Halomonas	99.89	2.46
ASM936375v1	GCF_009363755.1	GCA_009363755.1	Halomonas sp. THAF5a	2587844	OK		THAF5a					GCF_009363755.1-RS_2024_07_23	2024-07-23	1	1	Complete Genome	2019-10-28		1	68.5							Illumina MiSeq, Oxford Nanopore GridION	Uni Bielefeld	PRJNA547984	SAMN11996109	3507	3409	16	Halomonas	99.89	2.46
ASM936367v1	GCA_009363675.1	GCF_009363675.1	Halomonas sp. THAF12	2587849	OK		THAF12					Annotation submitted by Uni Bielefeld	2019-10-28	4	4	Complete Genome	2019-10-28		4	67.5							Illumina MiSeq, Oxford Nanopore GridION	Uni Bielefeld	PRJNA547984	SAMN11996114	3829	3727		Halomonas	99.71	2.58
ASM936367v1	GCF_009363675.1	GCA_009363675.1	Halomonas sp. THAF12	2587849	OK		THAF12					GCF_009363675.1-RS_2024_07_22	2024-07-22	4	4	Complete Genome	2019-10-28		4	67.5							Illumina MiSeq, Oxford Nanopore GridION	Uni Bielefeld	PRJNA547984	SAMN11996114	3861	3720	44	Halomonas	99.71	2.58
ASM2572564v1	GCA_025725645.1	GCF_025725645.1	Halomonas sp. GD1P12	2982691	Inconclusive		GD1P12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-10-11	1	1	Complete Genome	2022-10-17		1	61.5							PacBio	Inner Mongolia university	PRJNA885218	SAMN31078961	3481	3383	15	Halomonas	97.73	0.02
ASM2572564v1	GCF_025725645.1	GCA_025725645.1	Halomonas sp. GD1P12	2982691	Inconclusive		GD1P12					GCF_025725645.1-RS_2025_01_21	2025-01-21	1	1	Complete Genome	2022-10-17		1	61.5							PacBio	Inner Mongolia university	PRJNA885218	SAMN31078961	3478	3388	7	Halomonas	97.73	0.02
ASM2958137v1	GCA_029581375.1	GCF_029581375.1	Halomonas sp. M1	3035470	Inconclusive		M1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-03-31	2	2	Complete Genome	2023-04-04		2	54							Illumina NovaSeq; Oxford Nanopore MinION	University of Cincinnati	PRJNA945066	SAMN33772686	3438	3343	11	Halomonas	99.89	0.75
ASM2958137v1	GCF_029581375.1	GCA_029581375.1	Halomonas sp. M1	3035470	Inconclusive		M1					GCF_029581375.1-RS_2024_06_05	2024-06-05	2	2	Complete Genome	2023-04-04		2	54							Illumina NovaSeq; Oxford Nanopore MinION	University of Cincinnati	PRJNA945066	SAMN33772686	3446	3347	15	Halomonas	99.89	0.75
ASM5256841v1	GCA_052568415.1	GCF_052568415.1	Halomonas sp. E14	3397245	Inconclusive		E14							1	1	Complete Genome	2025-09-11		1	65.5							Illumina NovaSeq	University of California San Diego	PRJNA1218446	SAMN46522178				Halomonas	99.4	1.15
ASM5256841v1	GCF_052568415.1	GCA_052568415.1	Halomonas sp. E14	3397245	Inconclusive		E14					GCF_052568415.1-RS_2025_09_12	2025-09-12	1	1	Complete Genome	2025-09-13		1	65.5							Illumina NovaSeq	University of California San Diego		SAMN46522178	3528	3432	12	Halomonas	99.4	1.15
ASM3195424v1	GCA_031954245.1	GCF_031954245.1	Halomonas sp. PAMB 3264	3075222	Inconclusive		PAMB 3264					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-09-20	1	1	Complete Genome	2023-09-26		1	62							PacBio Sequel II; Illumina platform	Korea Research Institute of Bioscience and Biotechnology	PRJNA678113	SAMN37356477	3418	3321	14	Halomonas	97.86	1.12
ASM3195424v1	GCF_031954245.1	GCA_031954245.1	Halomonas sp. PAMB 3264	3075222	Inconclusive		PAMB 3264					GCF_031954245.1-RS_2024_12_23	2024-12-23	1	1	Complete Genome	2023-09-26		1	62							PacBio Sequel II; Illumina platform	Korea Research Institute of Bioscience and Biotechnology	PRJNA678113	SAMN37356477	3420	3323	14	Halomonas	97.86	1.12
ASM3195422v1	GCA_031954225.1	GCF_031954225.1	Halomonas sp. PAMB 3232	3075221	Inconclusive		PAMB 3232					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-09-20	1	1	Complete Genome	2023-09-26		1	62							PacBio Sequel II; Illumina platform	Korea Research Institute of Bioscience and Biotechnology	PRJNA678113	SAMN37356443	3408	3312	12	Halomonas	97.73	
ASM3195422v1	GCF_031954225.1	GCA_031954225.1	Halomonas sp. PAMB 3232	3075221	Inconclusive		PAMB 3232					GCF_031954225.1-RS_2024_12_22	2024-12-22	1	1	Complete Genome	2023-09-26		1	62							PacBio Sequel II; Illumina platform	Korea Research Institute of Bioscience and Biotechnology	PRJNA678113	SAMN37356443	3413	3318	11	Halomonas	97.73	
ASM96871v2	GCA_000968715.2	GCF_000968715.2	Halomonas sp. HG01	1609967	OK		HG01							1	1	Complete Genome	2017-06-30		1	68							Illumina MiSeq	University of Sao Paulo	PRJNA273864	SAMN03366765				Halomonas	99.84	0.77
ASM96871v2	GCF_000968715.2	GCA_000968715.2	Halomonas sp. HG01	1609967	OK		HG01					GCF_000968715.2-RS_2025_08_25	2025-08-25	1	1	Complete Genome	2017-06-30		1	68							Illumina MiSeq	University of Sao Paulo	PRJNA273864	SAMN03366765	3469	3363	29	Halomonas	99.84	0.77
ASM972858v1	GCA_009728585.1	GCF_009728585.1	Halomonas sp. PA16-9	2576841	Failed		PA16-9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-05-16	3	3	Complete Genome	2019-12-03		3	55							PacBio	Third institute of Oceanography,Ministry of Natural Resources	PRJNA541771	SAMN11602632	5190	3704	1404	Halomonas	71.11	1.25
ASM972858v1	GCF_009728585.1	GCA_009728585.1	Halomonas sp. PA16-9	2576841	Failed		PA16-9					GCF_009728585.1-RS_2025_08_25	2025-08-25	3	3	Complete Genome	2019-12-03		3	55							PacBio	Third institute of Oceanography,Ministry of Natural Resources	PRJNA541771	SAMN11602632	5542	4466	994	Halomonas	71.11	1.25
ASM1484093v1	GCA_014840935.1	GCF_014840935.1	Halomonas sp. YLGW01	2773308	Inconclusive		YLGW01							1	1	Complete Genome	2020-10-04		1	65							PacBio	Konkuk University	PRJNA664300	SAMN16205224				Halomonas	98.73	0.64
ASM1484093v1	GCF_014840935.1	GCA_014840935.1	Halomonas sp. YLGW01	2773308	Inconclusive		YLGW01					GCF_014840935.1-RS_2024_05_27	2024-05-27	1	1	Complete Genome	2020-10-04		1	65							PacBio	Konkuk University	PRJNA664300	SAMN16205224	3163	3049	25	Halomonas	98.73	0.64
ASM4007052v1	GCA_040070525.1	GCF_040070525.1	Halomonas sp. RT37	2950872	OK		RT37					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-06-14	1	1	Chromosome	2024-06-05		1	64							Illumina HiSeq	Ocean University of China	PRJNA844217	SAMN28797671	4309	4189	38	Halomonas	99.9	0.96
ASM4007052v1	GCF_040070525.1	GCA_040070525.1	Halomonas sp. RT37	2950872	OK		RT37					GCF_040070525.1-RS_2024_06_05	2024-06-05	1	1	Chromosome	2024-06-06		1	64							Illumina HiSeq	Ocean University of China	PRJNA844217	SAMN28797671	4307	4208	17	Halomonas	99.9	0.96
ASM4007055v1	GCA_040070555.1	GCF_040070555.1	Halomonas sp. H10-59	2950874	OK		H10-59					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-06-13	1	1	Chromosome	2024-06-05		1	64							Illumina HiSeq	Ocean University of China	PRJNA844217	SAMN28797673	4166	4038	46	Halomonas	99.83	0.49
ASM4007055v1	GCF_040070555.1	GCA_040070555.1	Halomonas sp. H10-59	2950874	OK		H10-59					GCF_040070555.1-RS_2024_06_05	2024-06-05	1	1	Chromosome	2024-06-06		1	64							Illumina HiSeq	Ocean University of China	PRJNA844217	SAMN28797673	4162	4058	22	Halomonas	99.83	0.49
IMG-taxon 2623620617 annotated assembly	GCA_900215475.1	GCF_900215475.1	Halomonas sp. hl-4	1761789	Inconclusive		HL-4					Annotation submitted by DOE - JOINT GENOME INSTITUTE	2017-09-06	1	1	Chromosome	2017-09-06		1	56							PacBio RS,PacBio RS II	DOE - JOINT GENOME INSTITUTE	PRJEB22442	SAMN04488142	4014	3865	65	Halomonas	98.61	1.87
IMG-taxon 2623620617 annotated assembly	GCF_900215475.1	GCA_900215475.1	Halomonas sp. hl-4	1761789	Inconclusive		HL-4					GCF_900215475.1-RS_2025_08_18	2025-08-18	1	1	Chromosome	2017-09-06		1	56							PacBio RS,PacBio RS II	DOE - JOINT GENOME INSTITUTE	PRJEB22442	SAMN04488142	3989	3862	44	Halomonas	98.61	1.87
IMG-taxon 2623620618 annotated assembly	GCA_900086985.1	GCF_900086985.1	Halomonas sp. HL-93	1666906	Inconclusive		HL-93					Annotation submitted by DOE - JOINT GENOME INSTITUTE	2016-06-10	1	1	Chromosome	2016-06-10		1	56							PacBio RS	DOE - JOINT GENOME INSTITUTE	PRJEB13869	SAMN04488143	3926	3777	67	Halomonas	98.42	0.44
IMG-taxon 2623620618 annotated assembly	GCF_900086985.1	GCA_900086985.1	Halomonas sp. HL-93	1666906	Inconclusive		HL-93					GCF_900086985.1-RS_2025_08_25	2025-08-25	1	1	Chromosome	2016-06-10		1	56							PacBio RS	DOE - JOINT GENOME INSTITUTE	PRJEB13869	SAMN04488143	3883	3771	30	Halomonas	98.42	0.44
ASM354707v1	GCA_003547075.1	GCF_003547075.1	Halomonas sp. JS92-SW72	2306583	OK		JS92-SW72					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-09-06	1	1	Chromosome	2018-09-12		1	68							PacBio	Peking university	PRJNA488344	SAMN09930477	3860	3656	130	Halomonas	98.57	2.93
ASM354707v1	GCF_003547075.1	GCA_003547075.1	Halomonas sp. JS92-SW72	2306583	OK		JS92-SW72					GCF_003547075.1-RS_2024_05_19	2024-05-19	1	1	Chromosome	2018-09-12		1	68							PacBio	Peking university	PRJNA488344	SAMN09930477	3884	3734	76	Halomonas	98.57	2.93
ASM1300402v1	GCA_013004025.1	GCF_013004025.1	Halomonas sp. TA6	2730854	OK		TA6							1	1	Chromosome	2020-05-10		1	61.5							Illumina	Xinjiang University	PRJNA628163	SAMN14732566				Halomonas	97.58	1.56
ASM1300402v1	GCF_013004025.1	GCA_013004025.1	Halomonas sp. TA6	2730854	OK		TA6					GCF_013004025.1-RS_2024_07_26	2024-07-26	1	1	Chromosome	2020-05-10		1	61.5							Illumina	Xinjiang University	PRJNA628163	SAMN14732566	3551	3461	46	Halomonas	97.58	1.56
ASM1300907v1	GCA_013009075.1	GCF_013009075.1	Halomonas sp. TA22	2730914	OK		TA22							1	1	Chromosome	2020-05-11		1	61.5							Illumina HiSeq	Xinjiang University	PRJNA628180	SAMN14732739				Halomonas	97.58	1.56
ASM1300907v1	GCF_013009075.1	GCA_013009075.1	Halomonas sp. TA22	2730914	OK		TA22					GCF_013009075.1-RS_2024_07_26	2024-07-26	1	1	Chromosome	2020-05-11		1	61.5							Illumina HiSeq	Xinjiang University	PRJNA628180	SAMN14732739	3553	3462	45	Halomonas	97.58	1.56
ASM1300096v1	GCA_013000965.1	GCF_013000965.1	Halomonas sp. PA5	2730357	OK		PA5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-05-01	1	1	Chromosome	2020-05-09		1	61.5							Illumina MiSeq	zhejiang university	PRJNA627649	SAMN14678003	3536	3407	83	Halomonas	97.58	1.56
ASM1300096v1	GCF_013000965.1	GCA_013000965.1	Halomonas sp. PA5	2730357	OK		PA5					GCF_013000965.1-RS_2024_07_26	2024-07-26	1	1	Chromosome	2020-05-09		1	61.5							Illumina MiSeq	zhejiang university	PRJNA627649	SAMN14678003	3553	3459	48	Halomonas	97.58	1.56
ASM2564325v1	GCA_025643255.1	GCF_025643255.1	Halomonas sp. 7T	2893469	Inconclusive		7T					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-11-15	1	1	Chromosome	2022-10-11		1	54.5							PacBio; Illumina	School of Marine Science, Technology and the Environment	PRJNA778919	SAMN23014031	3383	3273	27	Halomonas	99.29	0.37
ASM2564325v1	GCF_025643255.1	GCA_025643255.1	Halomonas sp. 7T	2893469	Inconclusive		7T					GCF_025643255.1-RS_2025_01_15	2025-01-15	1	1	Chromosome	2022-10-11		1	54.5							PacBio; Illumina	School of Marine Science, Technology and the Environment	PRJNA778919	SAMN23014031	3391	3289	19	Halomonas	99.29	0.37
ASM221616v1	GCA_002216165.1	GCF_002216165.1	Halomonas sp. N3-2A	2014541	Inconclusive		N3-2A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2017-06-30	1	10	Chromosome	2017-07-10		1	53							Illumina MiSeq	Memorial University of Newfoundland	PRJNA391029	SAMN07256639	4380	4193	116	Halomonas	99.43	1.83
ASM221616v1	GCF_002216165.1	GCA_002216165.1	Halomonas sp. N3-2A	2014541	Inconclusive		N3-2A					GCF_002216165.1-RS_2025_09_30	2025-09-30	1	10	Chromosome	2017-07-10		1	53							Illumina MiSeq	Memorial University of Newfoundland	PRJNA391029	SAMN07256639	4411	4268	72	Halomonas	99.43	1.83
HALA3H3_3393	GCA_000982975.1	GCF_000982975.1	Halomonas sp. A3H3	1346287	Inconclusive		A3H3					Annotation submitted by GMGM-UMR7156-CNRS/UDS	2014-04-03	2	131	Chromosome	2014-04-03	CBRE01	33	55								GMGM-UMR7156-CNRS/UDS	PRJEB4184	SAMEA3146254	5358	5290	3	Halomonas	99.52	3.53
HALA3H3_3393	GCF_000982975.1	GCA_000982975.1	Halomonas sp. A3H3	1346287	Inconclusive		A3H3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2015-08-19	2	131	Chromosome	2014-04-03	CBRE01	33	55								GMGM-UMR7156-CNRS/UDS	PRJEB4184	SAMEA3146254	5287	5151	82	Halomonas	99.52	3.53
ASM4268548v1	GCA_042685485.1	GCF_042685485.1	Halomonas halophila	29573	OK		CCM 3662					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-10-01		13	Contig	2024-10-07	JBHUNQ01	13	69							PacBio	Institution of Microbiology, Chinese Academy of Science(WDCM)	PRJNA595761	SAMN43282366	3636	3489	40	Halomonas	99.88	7.61
ASM4268548v1	GCF_042685485.1	GCA_042685485.1	Halomonas halophila	29573	OK		CCM 3662					GCF_042685485.1-RS_2025_12_02	2025-12-02		13	Contig	2024-10-07	JBHUNQ01	13	69							PacBio	Institution of Microbiology, Chinese Academy of Science(WDCM)	PRJNA595761	SAMN43282366	3636	3486	43	Halomonas	99.88	7.61
ASM3145173v1	GCA_031451735.1	GCF_031451735.1	Halomonas halophila	29573	OK		DSM 5928					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-05-11		44	Contig	2023-09-13	JASFAS01	44	68							Illumina HiSeq	University of Sevilla, Spain	PRJNA955156	SAMN34164688	3353	3260	14	Halomonas	99.88	0.77
ASM3145173v1	GCF_031451735.1	GCA_031451735.1	Halomonas halophila	29573	OK		DSM 5928					GCF_031451735.1-RS_2025_12_10	2025-12-10		44	Contig	2023-09-13	JASFAS01	44	68							Illumina HiSeq	University of Sevilla, Spain	PRJNA955156	SAMN34164688	3353	3258	15	Halomonas	99.88	0.77
ASM798946v1	GCA_007989465.1	GCF_007989465.1	Halomonas halophila	29573	OK		NBRC 102604					Annotation submitted by National Institute of Technology and Evaluation	2023-08-24		89	Contig	2019-08-01	BJUS01	89	68							Illumina HiSeq 1000	National Institute of Technology and Evaluation	PRJDB6189	SAMD00166023	3293	3240		Halomonas	99.88	0.77
ASM798946v1	GCF_007989465.1	GCA_007989465.1	Halomonas halophila	29573	OK		NBRC 102604					GCF_007989465.1-RS_2025_12_23	2025-12-23		89	Contig	2019-08-01	BJUS01	89	68							Illumina HiSeq 1000	National Institute of Technology and Evaluation	PRJDB6189	SAMD00166023	3329	3257	19	Halomonas	99.88	0.77
ASM799115v1	GCA_007991155.1	GCF_007991155.1	Halomonas cupida	44933	OK		NBRC 102219					Annotation submitted by National Institute of Technology and Evaluation	2019-07-31		234	Contig	2019-07-31	BJXU01	234	59.5							Illumina HiSeq 1000	National Institute of Technology and Evaluation	PRJDB3963	SAMD00169746	4364	4303		Halomonas	99.55	1.02
ASM799115v1	GCF_007991155.1	GCA_007991155.1	Halomonas cupida	44933	OK		NBRC 102219					GCF_007991155.1-RS_2025_08_26	2025-08-26		234	Contig	2019-07-31	BJXU01	234	59.5							Illumina HiSeq 1000	National Institute of Technology and Evaluation	PRJDB3963	SAMD00169746	4392	4305	25	Halomonas	99.55	1.02
IMG-taxon 2654588149 annotated assembly	GCA_900142315.1	GCF_900142315.1	Halomonas caseinilytica	438744	OK		ALO Sharm					Annotation submitted by DOE - JOINT GENOME INSTITUTE	2016-12-03		27	Scaffold	2016-12-03	FRAL01	23	63.5							Illumina HiSeq 2500-1TB	DOE - JOINT GENOME INSTITUTE	PRJEB18341	SAMN05192556	3313	3247		Halomonas	99.8	0.86
IMG-taxon 2654588149 annotated assembly	GCF_900142315.1	GCA_900142315.1	Halomonas caseinilytica	438744	OK		ALO Sharm					GCF_900142315.1-RS_2024_04_25	2024-04-25		27	Scaffold	2016-12-03	FRAL01	23	63.5							Illumina HiSeq 2500-1TB	DOE - JOINT GENOME INSTITUTE	PRJEB18341	SAMN05192556	3315	3239	11	Halomonas	99.8	0.86
ASM166230v1	GCA_001662305.1	GCF_001662305.1	Halomonas caseinilytica	438744	OK		JCM 14802								38	Contig	2016-05-31	BDEP01	38	63.5							Illumina MiSeq	Korea Polar Research Institute	PRJDB4878	SAMD00052839				Halomonas	99.43	0.45
ASM166230v1	GCF_001662305.1	GCA_001662305.1	Halomonas caseinilytica	438744	OK		JCM 14802					GCF_001662305.1-RS_2025_08_12	2025-08-12		38	Contig	2016-05-31	BDEP01	38	63.5							Illumina MiSeq	Korea Polar Research Institute	PRJDB4878	SAMD00052839	3417	3331	18	Halomonas	99.43	0.45
IMG-taxon 2617270935 annotated assembly	GCA_900109905.1	GCF_900109905.1	Halomonas caseinilytica	438744	OK		CGMCC 1.6773					Annotation submitted by DOE - JOINT GENOME INSTITUTE	2016-10-31		30	Scaffold	2016-10-31	FOBT01	28	63.5							Illumina HiSeq 2500-1TB	DOE - JOINT GENOME INSTITUTE	PRJEB16883	SAMN04487952	3430	3362		Halomonas	99.43	0.37
IMG-taxon 2617270935 annotated assembly	GCF_900109905.1	GCA_900109905.1	Halomonas caseinilytica	438744	OK		CGMCC 1.6773					GCF_900109905.1-RS_2025_07_25	2025-07-25		30	Scaffold	2016-10-31	FOBT01	28	63.5							Illumina HiSeq 2500-1TB	DOE - JOINT GENOME INSTITUTE	PRJEB16883	SAMN04487952	3428	3348	16	Halomonas	99.43	0.37
ASM4243048v1	GCA_042430485.1	GCF_042430485.1	Halomonas alkalicola	1930622	OK		CICC 11012s					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-09-23		95	Scaffold	2024-09-28	JBHMEV01	94	67.5							Illumina	Institution of Microbiology, Chinese Academy of Science(WDCM)	PRJNA595761	SAMN43281879	3322	3204	48	Halomonas	98.96	1.87
ASM4243048v1	GCF_042430485.1	GCA_042430485.1	Halomonas alkalicola	1930622	OK		CICC 11012s					GCF_042430485.1-RS_2025_09_29	2025-09-29		95	Scaffold	2024-09-28	JBHMEV01	94	67.5							Illumina	Institution of Microbiology, Chinese Academy of Science(WDCM)	PRJNA595761	SAMN43281879	3322	3204	47	Halomonas	98.96	1.87
ASM4243342v1	GCA_042433425.1	GCF_042433425.1	Halomonas alkalicola	1930622	OK		CICC 11012S					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-09-23		133	Contig	2024-09-28	JBHLUZ01	133	67.5							Illumina	Institution of Microbiology, Chinese Academy of Science(WDCM)	PRJNA595761	SAMN43281581	3336	3229	40	Halomonas	98.77	1.82
ASM4243342v1	GCF_042433425.1	GCA_042433425.1	Halomonas alkalicola	1930622	OK		CICC 11012S					GCF_042433425.1-RS_2025_09_29	2025-09-29		133	Contig	2024-09-28	JBHLUZ01	133	67.5							Illumina	Institution of Microbiology, Chinese Academy of Science(WDCM)	PRJNA595761	SAMN43281581	3335	3217	51	Halomonas	98.77	1.82
ASM1465313v1	GCA_014653135.1	GCF_014653135.1	Halomonas urumqiensis	1684789	OK		CGMCC 1.12917					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	2023-08-30		34	Scaffold	2020-09-12	BNAE01	32	62.5							Illumina HiSeq X Ten	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	PRJDB10509	SAMD00244980	3612	3553		Halomonas	99.86	1.71
ASM1465313v1	GCF_014653135.1	GCA_014653135.1	Halomonas urumqiensis	1684789	OK		CGMCC 1.12917					GCF_014653135.1-RS_2025_09_02	2025-09-02		34	Scaffold	2020-09-12	BNAE01	32	62.5							Illumina HiSeq X Ten	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	PRJDB10509	SAMD00244980	3618	3528	21	Halomonas	99.86	1.71
ASM990195v1	GCA_009901955.1	GCF_009901955.1	Halomonas icarae	2691040	OK		D1-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-12-30		58	Scaffold	2020-01-17	WUTS01	37	64							Illumina NextSeq	ICAR-National Bureau of Agriculturally Important Microorganisms	PRJNA596736	SAMN13634739	3247	3147	38	Halomonas	98.71	0.85
ASM990195v1	GCF_009901955.1	GCA_009901955.1	Halomonas icarae	2691040	OK		D1-1					GCF_009901955.1-RS_2025_03_16	2025-03-16		58	Scaffold	2020-01-17	WUTS01	37	64							Illumina NextSeq	ICAR-National Bureau of Agriculturally Important Microorganisms	PRJNA596736	SAMN13634739	3267	3177	28	Halomonas	98.71	0.85
ASM287963v1	GCA_002879635.1	GCF_002879635.1	Halomonas urumqiensis	1684789	OK		BZ-SZ-XJ27					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-01-08		41	Scaffold	2018-01-13	PNRG01	33	62.5							Illumina HiSeq	zhejiang university	PRJNA428918	SAMN08324466	3596	3500	38	Halomonas	99.86	1.71
ASM287963v1	GCF_002879635.1	GCA_002879635.1	Halomonas urumqiensis	1684789	OK		BZ-SZ-XJ27					GCF_002879635.1-RS_2025_03_30	2025-03-30		41	Scaffold	2018-01-13	PNRG01	33	62.5							Illumina HiSeq	zhejiang university	PRJNA428918	SAMN08324466	3613	3537	17	Halomonas	99.86	1.71
version 1 of the Halomonas huanghegensis	GCA_000470745.1	GCF_000470745.1	Halomonas huangheensis	1178482	OK		BJGMM-B45					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2013-08-08		68	Contig	2013-09-23	AVBC01	68	58.5							Illumina HiSeq	Chinese Academy of Agricultural Sciences	PRJNA214306	SAMN02469496	4294	4215		Halomonas	99.58	1.86
version 1 of the Halomonas huanghegensis	GCF_000470745.1	GCA_000470745.1	Halomonas huangheensis	1178482	OK		BJGMM-B45					GCF_000470745.1-RS_2025_03_21	2025-03-21		68	Contig	2013-09-23	AVBC01	68	58.5							Illumina HiSeq	Chinese Academy of Agricultural Sciences	PRJNA214306	SAMN02469496	4221	4104	34	Halomonas	99.58	1.86
ASM3145168v1	GCA_031451685.1	GCF_031451685.1	Halomonas mongoliensis	321265	OK		DSM 17332					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-04-14		57	Contig	2023-09-13	JARWAL01	57	67.5							Illumina HiSeq	University of Sevilla, Spain	PRJNA955153	SAMN34164681	3365	3268	25	Halomonas	99.25	1.49
ASM3145168v1	GCF_031451685.1	GCA_031451685.1	Halomonas mongoliensis	321265	OK		DSM 17332					GCF_031451685.1-RS_2025_09_15	2025-09-15		57	Contig	2023-09-13	JARWAL01	57	67.5							Illumina HiSeq	University of Sevilla, Spain	PRJNA955153	SAMN34164681	3370	3275	22	Halomonas	99.25	1.49
ASM287964v1	GCA_002879645.1	GCF_002879645.1	Halomonas heilongjiangensis	1387883	OK		DSM 26881					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-01-08		113	Scaffold	2018-01-13	PNRE01	105	66.5							Illumina HiSeq	zhejiang university	PRJNA428911	SAMN08324229	4482	4337	82	Halomonas	99.32	3.58
ASM287964v1	GCF_002879645.1	GCA_002879645.1	Halomonas heilongjiangensis	1387883	OK		DSM 26881					GCF_002879645.1-RS_2025_04_10	2025-04-10		113	Scaffold	2018-01-13	PNRE01	105	66.5							Illumina HiSeq	zhejiang university	PRJNA428911	SAMN08324229	4520	4394	63	Halomonas	99.32	3.58
